Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
ABQ,31.0,1.0,2.0,3236.0,274.0,1516.0,0.0,4150.0,1614,2016,9,1104.0,459.0,34.0,9.0,4.0,,1.0
AUS,6482.0,7.0,7.0,10132.0,880.0,4566.0,10.0,13889.0,3844,2016,9,2506.0,1163.0,115.0,32.0,11.0,1.0,2.0
BNA,345.0,4.0,5.0,10711.0,1010.0,4578.0,18.0,11910.0,4421,2016,9,3102.0,1170.0,97.0,28.0,10.0,2.0,3.0
BOS,76853.0,59.0,5.0,25913.0,6194.0,66708.0,267.0,38380.0,10083,2016,9,5874.0,3327.0,614.0,151.0,40.0,8.0,5.0
BWI,-8659.0,15.0,5.0,14629.0,1808.0,9760.0,180.0,21379.0,7835,2016,9,5716.0,1859.0,164.0,60.0,10.0,,6.0
CLT,-1267.0,46.0,13.0,21324.0,3762.0,17664.0,219.0,24363.0,9181,2016,9,6338.0,2451.0,209.0,77.0,26.0,9.0,12.0
DCA,14809.0,38.0,16.0,17107.0,4572.0,16808.0,23.0,19907.0,6396,2016,9,4183.0,1846.0,226.0,64.0,10.0,7.0,6.0
DEN,-29928.0,34.0,26.0,41752.0,4311.0,37323.0,16.0,59991.0,19265,2016,9,14131.0,4371.0,450.0,143.0,50.0,21.0,39.0
DFW,19301.0,38.0,47.0,48912.0,5805.0,37358.0,17.0,60368.0,16086,2016,9,11100.0,4160.0,460.0,167.0,42.0,22.0,50.0
DTW,-37689.0,12.0,11.0,33139.0,2370.0,12158.0,18.0,24605.0,10247,2016,9,8031.0,1864.0,192.0,69.0,24.0,12.0,32.0
EWR,61778.0,94.0,14.0,30265.0,4554.0,54060.0,20.0,42949.0,9724,2016,9,6102.0,2795.0,470.0,145.0,53.0,23.0,28.0
HNL,542.0,8.0,3.0,11280.0,237.0,2837.0,68.0,6255.0,3726,2016,9,2428.0,1217.0,33.0,18.0,6.0,7.0,6.0
IAH,-37799.0,43.0,31.0,29360.0,2162.0,21782.0,23.0,26227.0,10775,2016,9,8309.0,1994.0,239.0,89.0,29.0,16.0,25.0
IND,2816.0,4.0,1.0,6936.0,415.0,3097.0,0.0,7107.0,2007,2016,9,1409.0,495.0,70.0,19.0,6.0,1.0,2.0
JFK,13053.0,17.0,23.0,24398.0,3493.0,23898.0,431.0,30356.0,7663,2016,9,5160.0,2021.0,293.0,90.0,37.0,11.0,11.0
KOA,-1297.0,0.0,1.0,1644.0,0.0,267.0,0.0,1235.0,880,2016,9,599.0,267.0,8.0,3.0,2.0,,
LAS,14759.0,31.0,19.0,25395.0,4657.0,28346.0,126.0,34862.0,12581,2016,9,8442.0,3607.0,349.0,92.0,27.0,10.0,4.0
LAX,61874.0,74.0,13.0,47364.0,6084.0,58873.0,166.0,55310.0,17528,2016,9,10336.0,6339.0,526.0,162.0,39.0,18.0,21.0
LGA,54736.0,52.0,17.0,28813.0,5320.0,49563.0,15.0,27590.0,8153,2016,9,5089.0,2370.0,432.0,128.0,36.0,13.0,16.0
LIH,-1106.0,0.0,0.0,2063.0,0.0,341.0,0.0,1148.0,854,2016,9,590.0,247.0,10.0,4.0,2.0,,1.0
MCI,-1005.0,5.0,4.0,7021.0,717.0,3515.0,0.0,10738.0,3530,2016,9,2498.0,913.0,81.0,23.0,3.0,,3.0
MCO,27326.0,17.0,40.0,27500.0,3880.0,26147.0,122.0,33597.0,8819,2016,9,5796.0,2479.0,328.0,89.0,44.0,15.0,11.0
MEM,353.0,2.0,1.0,3485.0,1075.0,983.0,0.0,3131.0,1207,2016,9,866.0,295.0,27.0,8.0,4.0,2.0,2.0
MIA,12001.0,10.0,9.0,21158.0,2186.0,15385.0,14.0,16944.0,5106,2016,9,3372.0,1464.0,170.0,35.0,15.0,13.0,18.0
MSP,1753.0,21.0,44.0,38768.0,5588.0,18725.0,291.0,26040.0,10593,2016,9,7525.0,2612.0,231.0,70.0,35.0,15.0,40.0
MSY,-1213.0,7.0,2.0,8094.0,632.0,4266.0,77.0,8291.0,3357,2016,9,2360.0,876.0,83.0,22.0,6.0,1.0,
OGG,-4137.0,3.0,4.0,3526.0,11.0,1097.0,9.0,1825.0,1826,2016,9,1295.0,498.0,17.0,6.0,,2.0,1.0
ONT,-1456.0,3.0,0.0,2979.0,5.0,742.0,0.0,3621.0,1595,2016,9,1147.0,416.0,24.0,4.0,,,1.0
ORD,70615.0,135.0,66.0,57822.0,10300.0,98145.0,166.0,69442.0,20398,2016,9,13760.0,5209.0,700.0,273.0,114.0,67.0,74.0
ORF,1170.0,7.0,2.0,2217.0,348.0,1931.0,0.0,2649.0,907,2016,9,614.0,250.0,23.0,7.0,2.0,1.0,1.0
PDX,3388.0,3.0,1.0,11721.0,1135.0,6474.0,120.0,13003.0,4909,2016,9,3251.0,1501.0,100.0,37.0,8.0,3.0,5.0
PHL,22969.0,23.0,7.0,17212.0,2942.0,25014.0,51.0,21250.0,5897,2016,9,3882.0,1612.0,242.0,87.0,21.0,13.0,10.0
PHX,-7629.0,52.0,15.0,27615.0,1278.0,9502.0,202.0,29531.0,11965,2016,9,8208.0,3383.0,199.0,66.0,21.0,10.0,11.0
RDU,4025.0,6.0,6.0,8136.0,1023.0,3788.0,0.0,9049.0,2867,2016,9,1917.0,818.0,81.0,33.0,5.0,,1.0
SAN,3061.0,34.0,10.0,13419.0,2126.0,8264.0,26.0,18948.0,6437,2016,9,4349.0,1823.0,157.0,42.0,14.0,3.0,5.0
SAT,3883.0,2.0,3.0,6376.0,479.0,3132.0,0.0,8246.0,2520,2016,9,1683.0,741.0,64.0,18.0,4.0,2.0,3.0
SEA,-5097.0,13.0,5.0,23804.0,3403.0,17761.0,105.0,23643.0,11002,2016,9,7173.0,3500.0,219.0,55.0,22.0,8.0,7.0
SFO,29553.0,85.0,19.0,39726.0,3824.0,53644.0,233.0,50906.0,14434,2016,9,9640.0,3870.0,555.0,155.0,63.0,29.0,18.0
SJC,-3162.0,15.0,0.0,5793.0,262.0,2564.0,54.0,9805.0,3566,2016,9,2503.0,971.0,58.0,13.0,3.0,2.0,1.0
SJU,3120.0,0.0,3.0,6171.0,814.0,3067.0,61.0,4397.0,1605,2016,9,1052.0,472.0,57.0,15.0,3.0,2.0,1.0
SLC,-28185.0,3.0,34.0,18753.0,1300.0,6686.0,49.0,19125.0,8867,2016,9,6733.0,1883.0,145.0,30.0,19.0,10.0,10.0
SNA,-6585.0,5.0,2.0,5605.0,400.0,2240.0,60.0,6120.0,3511,2016,9,2512.0,930.0,50.0,8.0,1.0,,3.0
STL,3877.0,2.0,2.0,10903.0,1360.0,4455.0,0.0,13704.0,4569,2016,9,3149.0,1255.0,118.0,26.0,14.0,2.0,1.0
TPA,9256.0,6.0,6.0,15827.0,1925.0,11232.0,2.0,13922.0,4625,2016,9,3191.0,1195.0,162.0,41.0,13.0,6.0,5.0
TUL,-659.0,4.0,1.0,1890.0,510.0,1171.0,0.0,2985.0,1164,2016,9,817.0,308.0,25.0,6.0,3.0,,
ATL,-144544.0,19.0,47.0,88230.0,6599.0,32181.0,152.0,70621.0,31482,2016,9,25307.0,5160.0,551.0,198.0,93.0,41.0,66.0
BDL,-1650.0,3.0,0.0,4727.0,647.0,1738.0,0.0,3253.0,1590,2016,9,1145.0,385.0,39.0,14.0,2.0,2.0,
DAY,-908.0,2.0,0.0,706.0,194.0,616.0,0.0,1307.0,598,2016,9,413.0,172.0,8.0,1.0,2.0,,
DSM,-1151.0,2.0,2.0,1316.0,287.0,754.0,6.0,1998.0,601,2016,9,431.0,143.0,19.0,2.0,2.0,,
ELP,2235.0,2.0,0.0,1790.0,314.0,901.0,0.0,3972.0,1049,2016,9,663.0,355.0,22.0,6.0,1.0,,
FAT,-440.0,0.0,0.0,1574.0,0.0,594.0,0.0,1920.0,700,2016,9,516.0,157.0,22.0,3.0,1.0,,1.0
FLL,11905.0,16.0,9.0,14855.0,1254.0,22347.0,96.0,18510.0,5633,2016,9,3709.0,1607.0,206.0,52.0,20.0,5.0,9.0
IAD,-3444.0,8.0,2.0,8510.0,1177.0,3440.0,0.0,9077.0,2892,2016,9,2086.0,681.0,76.0,18.0,11.0,7.0,3.0
JAX,231.0,15.0,3.0,4191.0,222.0,2759.0,15.0,3637.0,1553,2016,9,1086.0,389.0,47.0,9.0,2.0,1.0,1.0
OKC,109.0,2.0,6.0,3196.0,133.0,1075.0,0.0,4415.0,1355,2016,9,945.0,356.0,38.0,5.0,1.0,1.0,1.0
OMA,-3618.0,7.0,2.0,4117.0,150.0,1387.0,0.0,3881.0,1578,2016,9,1184.0,334.0,37.0,11.0,1.0,2.0,
PIT,4183.0,3.0,2.0,6469.0,1064.0,2256.0,0.0,6722.0,2063,2016,9,1403.0,572.0,55.0,20.0,3.0,5.0,
RIC,7248.0,2.0,7.0,5501.0,458.0,3015.0,0.0,6435.0,1403,2016,9,881.0,426.0,55.0,25.0,6.0,1.0,
RSW,1305.0,3.0,6.0,4042.0,305.0,3110.0,8.0,4994.0,1346,2016,9,929.0,339.0,48.0,14.0,3.0,3.0,1.0
SDF,-917.0,0.0,1.0,1878.0,25.0,933.0,0.0,1840.0,831,2016,9,575.0,233.0,19.0,,2.0,1.0,
SMF,4840.0,8.0,2.0,7018.0,448.0,2282.0,55.0,13264.0,3388,2016,9,2294.0,987.0,63.0,22.0,5.0,4.0,3.0
STT,951.0,0.0,1.0,941.0,228.0,656.0,0.0,662.0,251,2016,9,170.0,66.0,7.0,6.0,1.0,,
STX,128.0,0.0,0.0,189.0,87.0,15.0,22.0,126.0,60,2016,9,42.0,14.0,4.0,,,,
TUS,3585.0,0.0,2.0,4569.0,142.0,1033.0,0.0,3882.0,1171,2016,9,749.0,374.0,31.0,10.0,3.0,1.0,1.0
AMA,-544.0,1.0,0.0,349.0,131.0,234.0,0.0,467.0,257,2016,9,186.0,64.0,5.0,1.0,,,
CLE,4690.0,11.0,6.0,8545.0,638.0,6473.0,7.0,14292.0,2904,2016,9,2076.0,650.0,106.0,27.0,16.0,4.0,8.0
CMH,107.0,3.0,3.0,4320.0,462.0,1806.0,0.0,5266.0,1909,2016,9,1340.0,500.0,51.0,6.0,3.0,3.0,
COS,987.0,2.0,0.0,2318.0,98.0,888.0,0.0,1685.0,738,2016,9,485.0,227.0,16.0,5.0,2.0,,1.0
ICT,-521.0,3.0,2.0,2201.0,299.0,645.0,0.0,1501.0,621,2016,9,475.0,117.0,15.0,7.0,,,2.0
MKE,-156.0,16.0,9.0,7434.0,811.0,2688.0,0.0,8798.0,2564,2016,9,1840.0,593.0,73.0,18.0,8.0,3.0,4.0
PBI,-1761.0,2.0,5.0,4362.0,234.0,5301.0,17.0,4103.0,1528,2016,9,1057.0,387.0,57.0,15.0,4.0,1.0,
PNS,-1112.0,0.0,0.0,1192.0,187.0,608.0,0.0,408.0,479,2016,9,364.0,102.0,10.0,3.0,,,
RNO,292.0,3.0,0.0,3140.0,19.0,729.0,0.0,3697.0,1289,2016,9,922.0,329.0,23.0,10.0,1.0,1.0,
LBB,-315.0,0.0,0.0,823.0,109.0,284.0,28.0,660.0,390,2016,9,273.0,110.0,4.0,1.0,1.0,,1.0
MFE,-405.0,0.0,0.0,656.0,33.0,190.0,0.0,409.0,183,2016,9,144.0,32.0,3.0,4.0,,,
PSP,-770.0,0.0,1.0,847.0,119.0,513.0,0.0,1684.0,592,2016,9,417.0,157.0,12.0,5.0,,,
XNA,718.0,2.0,3.0,2373.0,243.0,530.0,0.0,1905.0,508,2016,9,370.0,109.0,12.0,8.0,3.0,,1.0
ALB,-131.0,1.0,1.0,2004.0,255.0,338.0,0.0,1981.0,740,2016,9,535.0,182.0,16.0,2.0,1.0,1.0,1.0
BOI,-2337.0,3.0,0.0,1645.0,61.0,784.0,0.0,3417.0,1230,2016,9,889.0,310.0,23.0,3.0,2.0,,
BUF,2109.0,6.0,1.0,6188.0,519.0,1906.0,0.0,4833.0,1548,2016,9,1108.0,362.0,40.0,22.0,5.0,2.0,2.0
CHS,-601.0,12.0,3.0,3713.0,265.0,2356.0,20.0,2976.0,1212,2016,9,860.0,290.0,33.0,10.0,1.0,2.0,1.0
EGE,899.0,0.0,0.0,1159.0,0.0,46.0,0.0,156.0,79,2016,9,55.0,19.0,3.0,1.0,,,1.0
GEG,-1745.0,0.0,1.0,1350.0,101.0,420.0,19.0,1483.0,841,2016,9,606.0,221.0,9.0,3.0,1.0,,
GSO,1094.0,1.0,0.0,2522.0,493.0,829.0,0.0,1900.0,584,2016,9,419.0,132.0,19.0,8.0,3.0,1.0,1.0
HOU,3828.0,14.0,8.0,9232.0,1047.0,5070.0,16.0,13209.0,4362,2016,9,2916.0,1312.0,69.0,25.0,11.0,2.0,5.0
ILM,443.0,0.0,0.0,1235.0,99.0,222.0,0.0,432.0,255,2016,9,181.0,63.0,8.0,1.0,1.0,,1.0
JAC,1073.0,0.0,1.0,1765.0,51.0,427.0,0.0,1430.0,352,2016,9,253.0,78.0,11.0,6.0,2.0,1.0,
MDT,420.0,1.0,1.0,980.0,2.0,161.0,0.0,792.0,265,2016,9,181.0,72.0,6.0,3.0,1.0,,
OAK,1657.0,39.0,0.0,7506.0,276.0,3088.0,43.0,13928.0,4159,2016,9,2810.0,1200.0,74.0,30.0,5.0,,1.0
PVD,-315.0,2.0,0.0,2299.0,534.0,1068.0,0.0,3035.0,991,2016,9,704.0,249.0,21.0,12.0,3.0,,
PWM,3647.0,4.0,0.0,5432.0,169.0,1096.0,0.0,2586.0,720,2016,9,514.0,158.0,31.0,3.0,4.0,2.0,4.0
ROC,-1385.0,4.0,0.0,2357.0,46.0,737.0,0.0,1174.0,655,2016,9,475.0,157.0,13.0,5.0,1.0,,
SYR,2235.0,3.0,0.0,2946.0,66.0,616.0,0.0,1961.0,496,2016,9,329.0,137.0,15.0,5.0,3.0,1.0,3.0
ANC,-5385.0,7.0,1.0,2751.0,202.0,987.0,51.0,1616.0,1390,2016,9,980.0,381.0,11.0,5.0,3.0,2.0,
BTV,447.0,7.0,1.0,1195.0,19.0,517.0,0.0,1435.0,375,2016,9,260.0,94.0,5.0,5.0,3.0,,
ADK,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2016,9,5.0,4.0,,,,,
ADQ,-447.0,1.0,0.0,0.0,0.0,87.0,0.0,0.0,56,2016,9,53.0,1.0,1.0,,,,
BET,-396.0,3.0,0.0,74.0,26.0,61.0,0.0,0.0,81,2016,9,63.0,15.0,,,,,
BRW,-509.0,1.0,3.0,0.0,116.0,37.0,0.0,0.0,77,2016,9,62.0,11.0,,,,,
BUR,-727.0,5.0,1.0,3213.0,111.0,739.0,0.0,5240.0,1882,2016,9,1325.0,511.0,34.0,2.0,3.0,1.0,
CDV,-440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2016,9,46.0,14.0,,,,,
FAI,-782.0,1.0,0.0,164.0,0.0,53.0,60.0,108.0,185,2016,9,136.0,46.0,2.0,,,,
JNU,-698.0,2.0,0.0,340.0,142.0,251.0,38.0,414.0,338,2016,9,232.0,99.0,5.0,,,,
KTN,-41.0,0.0,1.0,223.0,81.0,215.0,0.0,135.0,194,2016,9,125.0,65.0,3.0,,,,
OME,-102.0,0.0,1.0,76.0,22.0,29.0,0.0,101.0,59,2016,9,41.0,16.0,1.0,,,,
OTZ,-303.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,59,2016,9,44.0,15.0,,,,,
PSG,-299.0,3.0,0.0,35.0,9.0,10.0,0.0,47.0,60,2016,9,42.0,15.0,,,,,
SCC,-399.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,60,2016,9,50.0,10.0,,,,,
SIT,-595.0,0.0,0.0,10.0,0.0,73.0,0.0,89.0,96,2016,9,72.0,24.0,,,,,
WRG,-198.0,0.0,3.0,147.0,0.0,13.0,0.0,10.0,60,2016,9,42.0,14.0,1.0,,,,
YAK,-299.0,0.0,0.0,1.0,0.0,73.0,33.0,19.0,60,2016,9,40.0,20.0,,,,,
ACK,-373.0,0.0,0.0,122.0,0.0,80.0,0.0,187.0,93,2016,9,70.0,23.0,,,,,
BQN,1425.0,0.0,1.0,967.0,0.0,155.0,0.0,1021.0,140,2016,9,83.0,46.0,7.0,1.0,,1.0,1.0
DAB,-661.0,0.0,0.0,160.0,54.0,211.0,0.0,118.0,145,2016,9,113.0,31.0,1.0,,,,
HPN,4184.0,5.0,2.0,2853.0,223.0,992.0,0.0,2649.0,564,2016,9,310.0,210.0,24.0,11.0,2.0,,
HYA,58.0,0.0,0.0,133.0,0.0,3.0,0.0,0.0,14,2016,9,9.0,4.0,1.0,,,,
LGB,341.0,13.0,1.0,2273.0,0.0,768.0,0.0,3857.0,1011,2016,9,700.0,263.0,20.0,9.0,4.0,,1.0
MVY,-68.0,0.0,0.0,54.0,58.0,40.0,0.0,64.0,36,2016,9,28.0,8.0,,,,,
ORH,-114.0,0.0,1.0,79.0,26.0,100.0,0.0,192.0,60,2016,9,43.0,14.0,2.0,,,,
PSE,789.0,0.0,0.0,521.0,0.0,31.0,0.0,530.0,59,2016,9,32.0,21.0,3.0,3.0,,,
SAV,-1087.0,6.0,2.0,1897.0,176.0,1155.0,0.0,1061.0,653,2016,9,472.0,155.0,13.0,1.0,3.0,,1.0
SRQ,-285.0,0.0,0.0,730.0,7.0,208.0,0.0,298.0,190,2016,9,138.0,46.0,4.0,2.0,,,
SWF,499.0,0.0,0.0,69.0,171.0,156.0,0.0,491.0,60,2016,9,37.0,19.0,2.0,1.0,,1.0,
ABE,318.0,0.0,1.0,605.0,105.0,270.0,0.0,620.0,169,2016,9,113.0,45.0,6.0,4.0,,,
AGS,1030.0,1.0,0.0,1291.0,79.0,86.0,0.0,1051.0,240,2016,9,162.0,64.0,8.0,3.0,,1.0,1.0
ATW,-260.0,2.0,1.0,973.0,99.0,320.0,0.0,658.0,308,2016,9,224.0,70.0,10.0,1.0,,,
AVL,-831.0,1.0,2.0,694.0,0.0,214.0,0.0,549.0,309,2016,9,227.0,73.0,4.0,2.0,,,
AVP,68.0,1.0,0.0,310.0,7.0,68.0,0.0,777.0,168,2016,9,118.0,42.0,5.0,2.0,,,
BGR,-59.0,0.0,1.0,641.0,0.0,262.0,0.0,323.0,118,2016,9,88.0,22.0,6.0,,,,1.0
BHM,-1868.0,2.0,3.0,2990.0,289.0,738.0,0.0,2049.0,1027,2016,9,793.0,197.0,21.0,6.0,4.0,,1.0
BIL,-236.0,0.0,1.0,501.0,162.0,203.0,0.0,424.0,244,2016,9,182.0,56.0,2.0,2.0,1.0,,
BIS,266.0,0.0,1.0,352.0,892.0,204.0,0.0,296.0,204,2016,9,144.0,53.0,4.0,1.0,,,1.0
BMI,-119.0,0.0,0.0,543.0,0.0,217.0,0.0,91.0,135,2016,9,98.0,33.0,2.0,2.0,,,
BZN,-1050.0,1.0,0.0,685.0,94.0,603.0,0.0,1095.0,435,2016,9,328.0,96.0,4.0,5.0,,,1.0
CAE,1863.0,0.0,3.0,1959.0,0.0,642.0,0.0,1499.0,342,2016,9,229.0,84.0,19.0,5.0,,2.0,
CAK,-340.0,4.0,1.0,821.0,115.0,317.0,0.0,1169.0,395,2016,9,289.0,88.0,8.0,5.0,,,
CHA,-635.0,1.0,1.0,1425.0,2.0,510.0,0.0,910.0,413,2016,9,297.0,98.0,12.0,3.0,1.0,,
CHO,812.0,1.0,0.0,822.0,6.0,211.0,0.0,1083.0,200,2016,9,127.0,59.0,8.0,4.0,1.0,,
CRW,557.0,2.0,2.0,1308.0,7.0,271.0,0.0,452.0,213,2016,9,148.0,48.0,9.0,3.0,1.0,,
CVG,1007.0,0.0,2.0,2910.0,365.0,1507.0,0.0,4483.0,1093,2016,9,772.0,273.0,25.0,13.0,5.0,2.0,1.0
DAL,10018.0,18.0,7.0,9420.0,1113.0,8146.0,37.0,15836.0,5656,2016,9,3650.0,1839.0,97.0,32.0,11.0,,2.0
ECP,-365.0,1.0,1.0,661.0,470.0,178.0,0.0,817.0,359,2016,9,268.0,81.0,5.0,2.0,,,1.0
EVV,256.0,3.0,0.0,504.0,44.0,248.0,0.0,532.0,186,2016,9,127.0,48.0,5.0,3.0,,,
EYW,873.0,0.0,1.0,1196.0,44.0,216.0,0.0,80.0,112,2016,9,73.0,29.0,5.0,3.0,1.0,,
FAR,2081.0,2.0,0.0,1895.0,200.0,634.0,0.0,1060.0,325,2016,9,203.0,108.0,5.0,3.0,1.0,1.0,2.0
FAY,-330.0,0.0,0.0,508.0,3.0,33.0,0.0,94.0,141,2016,9,104.0,33.0,4.0,,,,
FCA,-1497.0,0.0,1.0,374.0,53.0,183.0,0.0,183.0,261,2016,9,199.0,59.0,1.0,1.0,,,
FNT,-945.0,1.0,0.0,382.0,147.0,216.0,0.0,904.0,303,2016,9,237.0,53.0,11.0,1.0,,,
GNV,1445.0,1.0,1.0,1424.0,512.0,220.0,0.0,359.0,190,2016,9,125.0,52.0,7.0,1.0,1.0,1.0,1.0
GPT,274.0,0.0,0.0,876.0,1.0,76.0,0.0,980.0,246,2016,9,179.0,55.0,8.0,3.0,1.0,,
GRB,1024.0,3.0,0.0,745.0,91.0,757.0,0.0,770.0,236,2016,9,159.0,61.0,8.0,3.0,1.0,,1.0
GRR,-1067.0,5.0,3.0,1388.0,358.0,949.0,0.0,1871.0,773,2016,9,567.0,177.0,13.0,5.0,1.0,,2.0
GSP,428.0,5.0,1.0,2455.0,38.0,644.0,0.0,1297.0,583,2016,9,412.0,145.0,12.0,6.0,1.0,,1.0
HSV,-1797.0,0.0,0.0,685.0,34.0,163.0,0.0,338.0,350,2016,9,282.0,63.0,4.0,1.0,,,
JAN,-1400.0,0.0,0.0,711.0,0.0,177.0,0.0,457.0,377,2016,9,294.0,78.0,5.0,,,,
LEX,3565.0,2.0,0.0,3906.0,258.0,528.0,0.0,2030.0,449,2016,9,309.0,117.0,13.0,2.0,1.0,,5.0
LFT,-923.0,0.0,0.0,517.0,100.0,222.0,0.0,405.0,266,2016,9,207.0,52.0,7.0,,,,
LIT,-1514.0,3.0,2.0,1459.0,8.0,511.0,0.0,2100.0,715,2016,9,531.0,157.0,15.0,6.0,1.0,,
MDW,-16088.0,31.0,8.0,9977.0,1585.0,6504.0,31.0,17902.0,7277,2016,9,5318.0,1750.0,122.0,29.0,13.0,6.0,
MLB,-16.0,0.0,0.0,527.0,66.0,65.0,0.0,12.0,109,2016,9,80.0,25.0,3.0,,1.0,,
MOB,1851.0,4.0,3.0,3149.0,0.0,431.0,0.0,1220.0,448,2016,9,302.0,114.0,14.0,5.0,2.0,3.0,1.0
MSN,-509.0,4.0,1.0,1723.0,448.0,867.0,0.0,1310.0,676,2016,9,501.0,147.0,16.0,4.0,2.0,1.0,
MSO,-1087.0,0.0,0.0,459.0,172.0,177.0,0.0,397.0,245,2016,9,191.0,50.0,1.0,,3.0,,
MYR,267.0,2.0,5.0,960.0,3.0,3704.0,0.0,76.0,531,2016,9,402.0,97.0,21.0,1.0,2.0,,1.0
PHF,-218.0,0.0,0.0,407.0,0.0,16.0,0.0,40.0,83,2016,9,65.0,16.0,,2.0,,,
PSC,1084.0,0.0,0.0,1746.0,85.0,360.0,0.0,590.0,319,2016,9,214.0,96.0,6.0,1.0,1.0,,1.0
RAP,426.0,1.0,0.0,433.0,232.0,256.0,0.0,785.0,241,2016,9,158.0,73.0,4.0,2.0,2.0,1.0,
ROA,514.0,0.0,0.0,776.0,3.0,310.0,0.0,576.0,193,2016,9,129.0,56.0,6.0,1.0,1.0,,
SGF,-775.0,1.0,1.0,498.0,377.0,48.0,0.0,365.0,222,2016,9,167.0,47.0,4.0,,1.0,,1.0
SHV,3622.0,2.0,0.0,5434.0,0.0,489.0,0.0,1622.0,494,2016,9,355.0,99.0,26.0,5.0,4.0,,3.0
TLH,-169.0,0.0,0.0,257.0,612.0,677.0,0.0,68.0,191,2016,9,153.0,33.0,3.0,,,,2.0
TRI,1412.0,0.0,1.0,1696.0,0.0,160.0,0.0,806.0,188,2016,9,136.0,40.0,7.0,2.0,,1.0,1.0
TVC,-699.0,0.0,0.0,670.0,0.0,70.0,0.0,80.0,181,2016,9,143.0,34.0,3.0,,,1.0,
TYS,2329.0,2.0,0.0,2495.0,103.0,985.0,0.0,2300.0,604,2016,9,378.0,191.0,26.0,5.0,1.0,1.0,
VPS,-432.0,2.0,0.0,537.0,61.0,305.0,0.0,419.0,305,2016,9,226.0,69.0,6.0,1.0,1.0,,
BTR,2296.0,3.0,0.0,2819.0,13.0,624.0,0.0,2290.0,519,2016,9,357.0,133.0,15.0,4.0,4.0,1.0,2.0
FSD,303.0,2.0,0.0,953.0,209.0,641.0,0.0,933.0,341,2016,9,242.0,81.0,11.0,4.0,1.0,,
MHT,-1014.0,2.0,0.0,1162.0,95.0,197.0,0.0,1882.0,600,2016,9,444.0,137.0,11.0,4.0,1.0,1.0,
OAJ,1190.0,0.0,1.0,1585.0,0.0,86.0,0.0,106.0,107,2016,9,73.0,29.0,1.0,1.0,1.0,,1.0
SBN,1353.0,1.0,0.0,1456.0,195.0,1164.0,0.0,1992.0,453,2016,9,322.0,103.0,19.0,5.0,1.0,,2.0
AEX,1012.0,2.0,0.0,2015.0,7.0,196.0,0.0,592.0,243,2016,9,175.0,56.0,5.0,1.0,1.0,1.0,2.0
CID,3188.0,1.0,0.0,2661.0,934.0,434.0,0.0,1429.0,415,2016,9,270.0,119.0,16.0,4.0,2.0,1.0,2.0
GCK,-319.0,1.0,0.0,129.0,0.0,29.0,0.0,74.0,60,2016,9,44.0,14.0,1.0,,,,
LAW,263.0,1.0,0.0,581.0,0.0,85.0,0.0,339.0,118,2016,9,74.0,36.0,7.0,,,,
MGM,1348.0,0.0,0.0,1753.0,0.0,123.0,0.0,739.0,218,2016,9,157.0,55.0,3.0,1.0,,,2.0
SJT,-35.0,1.0,0.0,356.0,0.0,254.0,0.0,221.0,122,2016,9,84.0,31.0,6.0,,,,
ACT,-135.0,0.0,1.0,323.0,0.0,140.0,0.0,258.0,106,2016,9,77.0,24.0,2.0,2.0,,,
AZO,309.0,3.0,0.0,105.0,693.0,105.0,0.0,479.0,137,2016,9,104.0,27.0,1.0,,,1.0,1.0
BRO,-1286.0,0.0,0.0,170.0,48.0,80.0,0.0,86.0,151,2016,9,122.0,27.0,2.0,,,,
CLL,-575.0,1.0,0.0,271.0,79.0,44.0,0.0,281.0,130,2016,9,101.0,24.0,2.0,2.0,,,
CRP,-416.0,1.0,2.0,266.0,50.0,139.0,0.0,238.0,220,2016,9,157.0,59.0,,1.0,,,
ERI,-148.0,0.0,1.0,0.0,0.0,0.0,0.0,380.0,55,2016,9,42.0,9.0,2.0,1.0,,,
FSM,56.0,0.0,0.0,540.0,0.0,131.0,0.0,180.0,90,2016,9,64.0,21.0,3.0,1.0,1.0,,
GGG,182.0,0.0,0.0,297.0,0.0,6.0,0.0,27.0,26,2016,9,17.0,6.0,3.0,,,,
GRI,-26.0,0.0,1.0,121.0,0.0,19.0,0.0,431.0,56,2016,9,42.0,9.0,3.0,1.0,,,
GRK,-305.0,0.0,0.0,349.0,0.0,91.0,0.0,131.0,118,2016,9,87.0,26.0,5.0,,,,
HOB,-351.0,0.0,0.0,34.0,0.0,15.0,0.0,217.0,47,2016,9,39.0,5.0,3.0,,,,
HRL,-623.0,0.0,1.0,180.0,40.0,203.0,0.0,526.0,246,2016,9,189.0,54.0,1.0,1.0,,,
LAN,111.0,3.0,0.0,79.0,0.0,311.0,0.0,424.0,104,2016,9,72.0,23.0,4.0,2.0,,,
