Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
MSO,-64.0,2.0,2.0,560.0,0.0,277.0,0.0,565.0,181,2016,1,120.0,48.0,7.0,2.0,,,
MYR,1978.0,9.0,0.0,1053.0,110.0,818.0,0.0,897.0,228,2016,1,119.0,83.0,11.0,6.0,,,
PHF,167.0,2.0,1.0,639.0,0.0,46.0,0.0,18.0,88,2016,1,62.0,19.0,2.0,1.0,1.0,,
PNS,946.0,6.0,2.0,816.0,337.0,807.0,0.0,1210.0,441,2016,1,298.0,120.0,7.0,4.0,2.0,2.0,
ROA,727.0,9.0,1.0,845.0,127.0,187.0,0.0,225.0,183,2016,1,107.0,60.0,5.0,1.0,,,
SGF,1988.0,3.0,2.0,1181.0,100.0,362.0,0.0,1402.0,232,2016,1,135.0,73.0,14.0,3.0,,1.0,1.0
TRI,274.0,2.0,0.0,299.0,0.0,70.0,0.0,553.0,162,2016,1,109.0,46.0,4.0,,1.0,,
TTN,-662.0,7.0,0.0,362.0,62.0,148.0,0.0,727.0,167,2016,1,126.0,26.0,5.0,3.0,,,
TYS,4823.0,8.0,3.0,4454.0,220.0,1062.0,0.0,1566.0,523,2016,1,305.0,176.0,22.0,6.0,,1.0,2.0
UST,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2016,1,3.0,,,,,,
VPS,-96.0,4.0,1.0,1511.0,167.0,386.0,0.0,341.0,359,2016,1,268.0,76.0,6.0,2.0,1.0,,1.0
ACY,3709.0,17.0,0.0,1305.0,0.0,1692.0,3.0,1974.0,310,2016,1,154.0,105.0,25.0,6.0,3.0,,
AVL,1007.0,9.0,2.0,1209.0,85.0,361.0,0.0,363.0,204,2016,1,132.0,48.0,7.0,5.0,1.0,,
CAE,3810.0,5.0,0.0,2618.0,648.0,889.0,0.0,1595.0,428,2016,1,255.0,141.0,15.0,8.0,2.0,,2.0
CRW,578.0,9.0,5.0,881.0,40.0,184.0,0.0,424.0,196,2016,1,109.0,63.0,9.0,1.0,,,
ITO,-1357.0,0.0,1.0,356.0,59.0,87.0,0.0,239.0,492,2016,1,376.0,115.0,,,,,
ABE,752.0,8.0,2.0,730.0,21.0,407.0,0.0,560.0,181,2016,1,103.0,56.0,9.0,3.0,,,
BMI,756.0,1.0,0.0,473.0,109.0,165.0,0.0,531.0,91,2016,1,52.0,30.0,5.0,1.0,2.0,,
GRK,-329.0,0.0,0.0,634.0,0.0,86.0,0.0,347.0,216,2016,1,148.0,60.0,7.0,,1.0,,
IAG,168.0,1.0,0.0,128.0,0.0,197.0,0.0,140.0,31,2016,1,22.0,3.0,5.0,,,,
JLN,24.0,0.0,0.0,269.0,0.0,35.0,0.0,212.0,62,2016,1,50.0,9.0,1.0,1.0,1.0,,
LBE,1087.0,8.0,0.0,436.0,0.0,638.0,12.0,435.0,93,2016,1,45.0,32.0,7.0,,,1.0,
MLU,709.0,1.0,0.0,1324.0,0.0,217.0,0.0,558.0,246,2016,1,171.0,65.0,4.0,1.0,2.0,1.0,1.0
PPG,-5.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,10,2016,1,5.0,5.0,,,,,
SHV,168.0,0.0,0.0,1883.0,81.0,370.0,0.0,1700.0,481,2016,1,359.0,103.0,11.0,2.0,6.0,,
TYR,-522.0,0.0,0.0,317.0,0.0,128.0,0.0,601.0,172,2016,1,139.0,26.0,5.0,2.0,,,
XNA,1101.0,3.0,1.0,1137.0,120.0,744.0,0.0,1577.0,367,2016,1,234.0,110.0,15.0,1.0,2.0,,1.0
ACT,-914.0,0.0,0.0,248.0,0.0,48.0,0.0,194.0,146,2016,1,122.0,23.0,1.0,,,,
ACV,1715.0,5.0,1.0,869.0,97.0,349.0,0.0,704.0,125,2016,1,51.0,60.0,5.0,1.0,2.0,,
AEX,-48.0,2.0,2.0,654.0,0.0,150.0,0.0,839.0,209,2016,1,143.0,53.0,6.0,3.0,,,
ASE,779.0,19.0,26.0,1454.0,846.0,1046.0,0.0,2149.0,607,2016,1,375.0,156.0,24.0,5.0,1.0,1.0,
BRO,-699.0,6.0,0.0,211.0,41.0,82.0,0.0,579.0,189,2016,1,144.0,35.0,2.0,1.0,1.0,,
BTR,1897.0,3.0,2.0,2524.0,0.0,943.0,0.0,1397.0,589,2016,1,362.0,197.0,17.0,6.0,2.0,,
DLH,1180.0,3.0,1.0,1061.0,48.0,396.0,0.0,566.0,173,2016,1,97.0,59.0,10.0,3.0,,,
DRO,-47.0,4.0,2.0,62.0,103.0,277.0,0.0,198.0,105,2016,1,62.0,32.0,4.0,1.0,,,
EUG,1631.0,11.0,1.0,1177.0,155.0,198.0,0.0,2220.0,290,2016,1,183.0,74.0,12.0,7.0,2.0,,
FCA,-408.0,0.0,0.0,772.0,77.0,163.0,0.0,49.0,137,2016,1,104.0,29.0,3.0,,,,1.0
FLG,-191.0,12.0,1.0,142.0,165.0,57.0,29.0,275.0,157,2016,1,107.0,34.0,3.0,,,,
FWA,3496.0,8.0,0.0,1441.0,83.0,859.0,0.0,2923.0,309,2016,1,180.0,86.0,20.0,10.0,4.0,1.0,
GJT,508.0,3.0,1.0,292.0,713.0,165.0,0.0,265.0,188,2016,1,124.0,55.0,4.0,,,,1.0
GRB,1053.0,5.0,0.0,610.0,147.0,539.0,0.0,1464.0,243,2016,1,153.0,69.0,10.0,3.0,2.0,1.0,
